CODE,NUTS3,POPULATION,POP_DENS,POP_60,P_POP_60,P_MALES,POP 014,P_POP_0_14,POP 1529,P_POP_15_29,POP 3044,P_POP_30_44,POP 4559,P_POP_45_59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE_AREA,COVID19_D,COVID19_CCONF,DURATION_LD,LAG_LD,NO2,WIND,TEMP,NTI,PRESSURE,PRECIPITATION,SOLAR_RAD,LAI,PM25
FR,FRB04,609379,99,172034,28.23104,48.01429,103870,17.04522,106794,17.52505,106850,17.53424,119831,19.66445,1,278490,318645,6103.69,93,871,55,53,1.74457,3.93516,11.29092,8.82602,1.07043,57.18255,11887.53258,1.01573,11.29092
FR,FRB05,331090,52,104484,31.55758,48.59917,55201,16.67251,47987,14.49364,54500,16.46078,68918,20.81549,0,148850,182656,6362.06,65,313,55,53,2.38018,3.87714,11.07653,6.29275,1.05365,56.10532,11747.18807,1.08722,11.07653
FR,FRB06,679950,100,179305,26.37032,48.6474,127510,18.75285,115612,17.00301,123226,18.1228,134297,19.75101,2,296183,341241,6745.99,104,1996,55,53,3.45266,3.72638,10.76186,10.97493,1.04424,54.79244,11675.9118,0.99945,10.76186
FR,FRD11,692569,124,198149,28.61072,47.9314,116656,16.84395,122845,17.73758,119254,17.21908,135665,19.58866,0,309454,411666,5528.18,85,705,55,53,2.2752,4.54355,10.79526,12.98713,1.06775,64.57002,11023.6858,2.23971,10.79526
FR,FRD12,493040,82,158359,32.1189,48.77434,79856,16.19666,72853,14.77629,79923,16.21025,102049,20.69791,1,224582,294982,5985.86,50,341,55,53,2.36986,5.32558,10.99861,10.10654,1.08593,68.56229,11140.19734,2.57002,10.99861
FR,FRD13,279863,46,93714,33.48567,48.71133,45163,16.13754,39899,14.25662,43762,15.63694,57325,20.48324,2,127270,164492,6080.13,43,289,55,53,2.27553,3.89657,10.24298,6.65728,1.02126,62.83554,11247.98624,1.70243,10.24298
FR,FRC11,533656,61,145157,27.20048,48.23313,86726,16.25129,102242,19.15878,94509,17.70972,105022,19.67972,1,246027,285069,8722.91,251,965,55,53,2.1924,3.4115,9.73607,8.29016,0.98867,71.15836,11793.13414,1.04123,9.73607
FR,FRC12,201443,29,75988,37.72184,48.32831,28470,14.13303,26073,12.94312,29815,14.80071,41097,20.4013,5,98645,141465,6816.47,28,301,55,53,2.05936,3.13414,10.17463,4.12467,1.01074,65.97477,11916.0204,1.1951,10.17463
FR,FRC13,550306,64,181659,33.01054,48.56662,88535,16.08832,76907,13.97532,89256,16.21934,113949,20.70648,1,252943,308912,8546.67,202,647,55,53,2.03885,3.16257,10.51459,9.19158,1.01278,70.44385,12076.45192,0.99479,10.51459
FR,FRC14,336817,45,106199,31.53018,48.56999,57561,17.0897,47520,14.10855,56816,16.86851,68721,20.40307,1,150868,195645,7389.58,95,421,55,53,2.41871,3.34171,10.24631,7.01694,1.02307,60.58768,11614.14628,0.90057,10.24631
FR,FRE11,2595250,451,593704,22.87656,48.29057,500741,19.29452,511956,19.72665,495068,19.07593,493781,19.02634,0,1093771,1203975,5688.06,680,6877,55,53,4.86653,4.4338,10.03498,30.28559,1.02918,60.98132,10350.26149,1.0887,10.03498
FR,FRE12,1464819,219,369068,25.19547,48.54443,278337,19.00146,253232,17.2876,273127,18.64578,291055,19.86969,0,608848,707568,6616.55,33,2028,55,53,4.79803,4.6104,10.12957,20.26883,1.03408,57.27832,10347.20112,1.23608,10.12957
